application_for,open_date_year,response_rate_met,ballots_in_favour,ballots_opposed,ballots_returned,ballots_distributed,poll_result
Front Yard Parking,2015,Yes,16,1,17,34,In Favour
Front Yard Parking,2015,Yes,30,0,30,36,In Favour
Front Yard Parking,2015,Yes,37,3,40,97,In Favour
Traffic Calming,2015,No,101,31,132,334,Response Rate Not Met
Boulevard Cafe,2015,Yes,19,10,29,106,In Favour
Traffic Calming,2015,No,42,20,62,235,Response Rate Not Met
Commercial Boulevard Parking,2015,No,13,11,24,235,Response Rate Not Met
Appeal - Front Yard Parking,2015,Yes,29,1,30,109,In Favour
Traffic Calming,2015,No,44,27,71,340,Response Rate Not Met
Front Yard Parking,2015,Yes,44,3,47,80,In Favour
Front Yard Parking,2015,Yes,32,0,32,73,In Favour
Traffic Calming,2015,Yes,19,5,24,43,In Favour
Traffic Calming,2015,Yes,47,8,55,78,In Favour
Boulevard Cafe,2015,No,0,3,3,16,Response Rate Not Met
Traffic Calming,2015,Yes,43,10,53,90,In Favour
Traffic Calming,2015,Yes,63,13,76,138,In Favour
Traffic Calming,2015,Yes,99,33,132,271,In Favour
Traffic Calming,2015,No,63,23,86,261,Response Rate Not Met
Traffic Calming,2015,Yes,44,17,61,138,In Favour
Boulevard Cafe,2015,No,1,0,1,24,Response Rate Not Met
Traffic Calming,2015,No,1,1,2,11,Response Rate Not Met
Boulevard Cafe,2015,No,18,11,29,151,Response Rate Not Met
Boulevard Cafe,2015,Yes,21,1,22,92,In Favour
Boulevard Cafe,2015,Yes,23,1,24,76,In Favour
Boulevard Cafe,2015,Yes,45,3,48,146,In Favour
Appeal - Front Yard Parking,2015,Yes,23,0,23,59,In Favour
Appeal - Front Yard Parking,2015,Yes,11,16,27,75,Opposed
Appeal - Front Yard Parking,2015,Yes,34,2,36,87,In Favour
Appeal - Front Yard Parking,2015,Yes,37,1,38,59,In Favour
Appeal - Front Yard Parking,2015,Yes,21,4,25,65,In Favour
Appeal - Front Yard Parking,2015,Yes,31,16,47,113,In Favour
Boulevard Cafe,2015,No,0,0,0,22,Response Rate Not Met
Traffic Calming,2015,No,18,18,36,100,Response Rate Not Met
Traffic Calming,2015,Yes,22,9,31,54,In Favour
Front Yard Parking,2015,Yes,16,0,16,29,In Favour
Boulevard Cafe,2015,Yes,10,8,18,66,Opposed
Boulevard Cafe,2015,No,0,0,0,18,Response Rate Not Met
Boulevard Cafe,2015,Yes,32,1,33,43,In Favour
Appeal - Front Yard Parking,2015,Yes,4,23,27,67,Opposed
Appeal - Front Yard Parking,2015,Yes,20,0,20,40,In Favour
Appeal - Front Yard Parking,2015,Yes,33,5,38,84,In Favour
Appeal - Front Yard Parking,2015,Yes,32,10,42,127,In Favour
Traffic Calming,2015,No,30,5,35,86,Response Rate Not Met
Appeal - Front Yard Parking,2015,Yes,20,2,22,101,In Favour
Appeal - Front Yard Parking,2015,Yes,20,2,22,56,In Favour
Appeal - Front Yard Parking,2015,Yes,24,2,26,30,In Favour
Appeal - Front Yard Parking,2015,Yes,45,2,47,77,In Favour
Front Yard Parking,2015,Yes,20,2,22,94,In Favour
Boulevard Cafe,2015,Yes,20,6,26,98,In Favour
Boulevard Cafe,2015,Yes,1,28,29,65,Opposed
Appeal - Front Yard Parking,2015,Yes,35,3,38,99,In Favour
Appeal - Front Yard Parking,2015,Yes,12,4,16,34,In Favour
Traffic Calming,2015,No,5,1,6,56,Response Rate Not Met
Traffic Calming,2015,No,19,18,37,106,Response Rate Not Met
Boulevard Cafe,2015,Yes,57,38,95,315,In Favour
Traffic Calming,2015,Yes,170,40,210,358,In Favour
Front Yard Parking,2015,Yes,46,4,50,97,In Favour
Traffic Calming,2015,No,19,15,34,86,Response Rate Not Met
Traffic Calming,2015,Yes,28,15,43,69,In Favour
Traffic Calming,2015,Yes,31,25,56,75,Opposed
Boulevard Cafe,2015,No,14,7,21,134,Response Rate Not Met
Front Yard Parking,2015,Yes,14,7,21,53,In Favour
Front Yard Parking,2015,Yes,14,5,19,51,In Favour
Traffic Calming,2015,No,60,18,78,314,Response Rate Not Met
Appeal - Front Yard Parking,2015,Yes,42,5,47,154,In Favour
Appeal - Front Yard Parking,2015,Yes,48,12,60,107,In Favour
Front Yard Parking,2015,Yes,14,0,14,41,In Favour
Appeal - Front Yard Parking,2015,Yes,30,15,45,74,In Favour
Appeal - Front Yard Parking,2015,Yes,38,33,71,148,Opposed
Appeal - Front Yard Parking,2015,Yes,58,0,58,97,In Favour
Proposed Business Improvement Area,2015,Yes,11,3,14,36,In Favour
Permit Parking,2015,Yes,5,3,8,11,In Favour
Boulevard Cafe,2015,Yes,11,21,32,93,Opposed
Appeal - Front Yard Parking,2015,Yes,30,14,44,101,In Favour
Appeal - Front Yard Parking,2015,Yes,48,2,50,111,In Favour
Appeal - Front Yard Parking,2015,Yes,13,0,13,46,In Favour
Appeal - Front Yard Parking,2015,Yes,26,0,26,35,In Favour
Appeal - Front Yard Parking,2015,Yes,67,0,67,115,In Favour
