open_date_year,application_for,ballots_in_favour,ballots_distributed,ballots_returned,poll_result
2015,Front Yard Parking,16,34,17,In Favour
2015,Front Yard Parking,30,36,30,In Favour
2015,Front Yard Parking,37,97,40,In Favour
2015,Boulevard Cafe,19,106,29,In Favour
2015,Appeal - Front Yard Parking,29,109,30,In Favour
2015,Front Yard Parking,44,80,47,In Favour
2015,Front Yard Parking,32,73,32,In Favour
2015,Traffic Calming,19,43,24,In Favour
2015,Traffic Calming,47,78,55,In Favour
2015,Traffic Calming,43,90,53,In Favour
2015,Traffic Calming,63,138,76,In Favour
2015,Traffic Calming,99,271,132,In Favour
2015,Traffic Calming,44,138,61,In Favour
2015,Boulevard Cafe,21,92,22,In Favour
2015,Boulevard Cafe,23,76,24,In Favour
2015,Boulevard Cafe,45,146,48,In Favour
2015,Appeal - Front Yard Parking,23,59,23,In Favour
2015,Appeal - Front Yard Parking,11,75,27,Opposed
2015,Appeal - Front Yard Parking,34,87,36,In Favour
2015,Appeal - Front Yard Parking,37,59,38,In Favour
2015,Appeal - Front Yard Parking,21,65,25,In Favour
2015,Appeal - Front Yard Parking,31,113,47,In Favour
2015,Traffic Calming,22,54,31,In Favour
2015,Front Yard Parking,16,29,16,In Favour
2015,Boulevard Cafe,10,66,18,Opposed
2015,Boulevard Cafe,32,43,33,In Favour
2015,Appeal - Front Yard Parking,4,67,27,Opposed
2015,Appeal - Front Yard Parking,20,40,20,In Favour
2015,Appeal - Front Yard Parking,33,84,38,In Favour
2015,Appeal - Front Yard Parking,32,127,42,In Favour
2015,Appeal - Front Yard Parking,20,101,22,In Favour
2015,Appeal - Front Yard Parking,20,56,22,In Favour
2015,Appeal - Front Yard Parking,24,30,26,In Favour
2015,Appeal - Front Yard Parking,45,77,47,In Favour
2015,Front Yard Parking,20,94,22,In Favour
2015,Boulevard Cafe,20,98,26,In Favour
2015,Boulevard Cafe,1,65,29,Opposed
2015,Appeal - Front Yard Parking,35,99,38,In Favour
2015,Appeal - Front Yard Parking,12,34,16,In Favour
2015,Boulevard Cafe,57,315,95,In Favour
2015,Traffic Calming,170,358,210,In Favour
2015,Front Yard Parking,46,97,50,In Favour
2015,Traffic Calming,28,69,43,In Favour
2015,Traffic Calming,31,75,56,Opposed
2015,Front Yard Parking,14,53,21,In Favour
2015,Front Yard Parking,14,51,19,In Favour
2015,Appeal - Front Yard Parking,42,154,47,In Favour
2015,Appeal - Front Yard Parking,48,107,60,In Favour
2015,Front Yard Parking,14,41,14,In Favour
2015,Appeal - Front Yard Parking,30,74,45,In Favour
2015,Appeal - Front Yard Parking,38,148,71,Opposed
2015,Appeal - Front Yard Parking,58,97,58,In Favour
2015,Proposed Business Improvement Area,11,36,14,In Favour
2015,Permit Parking,5,11,8,In Favour
2015,Boulevard Cafe,11,93,32,Opposed
2015,Appeal - Front Yard Parking,30,101,44,In Favour
